ts_start,ts_end,price
2026-01-10 20:45:00,2026-01-10 21:00:00,0.123470
2026-01-10 20:30:00,2026-01-10 20:45:00,0.125360
2026-01-10 20:15:00,2026-01-10 20:30:00,0.129520
2026-01-10 20:00:00,2026-01-10 20:15:00,0.135110
2026-01-10 19:45:00,2026-01-10 20:00:00,0.129520
2026-01-10 19:30:00,2026-01-10 19:45:00,0.136950
2026-01-10 19:15:00,2026-01-10 19:30:00,0.138610
2026-01-10 19:00:00,2026-01-10 19:15:00,0.144690
2026-01-10 18:45:00,2026-01-10 19:00:00,0.144090
2026-01-10 18:30:00,2026-01-10 18:45:00,0.143380
2026-01-10 18:15:00,2026-01-10 18:30:00,0.140350
2026-01-10 18:00:00,2026-01-10 18:15:00,0.135340
2026-01-10 17:45:00,2026-01-10 18:00:00,0.144260
2026-01-10 17:30:00,2026-01-10 17:45:00,0.130490
2026-01-10 17:15:00,2026-01-10 17:30:00,0.129470
2026-01-10 17:00:00,2026-01-10 17:15:00,0.123860
2026-01-10 16:45:00,2026-01-10 17:00:00,0.131700
2026-01-10 16:30:00,2026-01-10 16:45:00,0.127200
2026-01-10 16:15:00,2026-01-10 16:30:00,0.123360
2026-01-10 16:00:00,2026-01-10 16:15:00,0.119540
2026-01-10 15:45:00,2026-01-10 16:00:00,0.128340
2026-01-10 15:30:00,2026-01-10 15:45:00,0.124620
2026-01-10 15:15:00,2026-01-10 15:30:00,0.128350
2026-01-10 15:00:00,2026-01-10 15:15:00,0.128350
2026-01-10 14:45:00,2026-01-10 15:00:00,0.133810
2026-01-10 14:30:00,2026-01-10 14:45:00,0.131290
2026-01-10 14:15:00,2026-01-10 14:30:00,0.133290
2026-01-10 14:00:00,2026-01-10 14:15:00,0.133030
2026-01-10 13:45:00,2026-01-10 14:00:00,0.134610
2026-01-10 13:30:00,2026-01-10 13:45:00,0.124970
2026-01-10 13:15:00,2026-01-10 13:30:00,0.100220
2026-01-10 13:00:00,2026-01-10 13:15:00,0.097360
2026-01-10 12:45:00,2026-01-10 13:00:00,0.134960
2026-01-10 12:30:00,2026-01-10 12:45:00,0.125780
2026-01-10 12:15:00,2026-01-10 12:30:00,0.118540
2026-01-10 12:00:00,2026-01-10 12:15:00,0.106190
2026-01-10 11:45:00,2026-01-10 12:00:00,0.125000
2026-01-10 11:30:00,2026-01-10 11:45:00,0.114130
2026-01-10 11:15:00,2026-01-10 11:30:00,0.106190
2026-01-10 11:00:00,2026-01-10 11:15:00,0.099970
2026-01-10 10:45:00,2026-01-10 11:00:00,0.106200
2026-01-10 10:30:00,2026-01-10 10:45:00,0.101940
2026-01-10 10:15:00,2026-01-10 10:30:00,0.090770
2026-01-10 10:00:00,2026-01-10 10:15:00,0.087930
2026-01-10 09:45:00,2026-01-10 10:00:00,0.199710
2026-01-10 09:30:00,2026-01-10 09:45:00,0.089110
2026-01-10 09:15:00,2026-01-10 09:30:00,0.081420
